league,league_name,team_id,team_name,ovr
laliga,西甲,laliga19,巴列卡诺,71
laliga,西甲,laliga20,巴拉多利德,70
laliga2,西乙,laliga201,莱万特,74
laliga2,西乙,laliga202,桑坦德竞技,71
laliga2,西乙,laliga203,埃瓦尔,71
laliga2,西乙,laliga204,埃尔切,70
laliga2,西乙,laliga205,萨拉戈萨,69
laliga2,西乙,laliga206,阿尔梅里亚,69
laliga2,西乙,laliga207,奥维耶多,69
laliga2,西乙,laliga208,格拉纳达,68
laliga2,西乙,laliga209,希洪竞技,68
laliga2,西乙,laliga210,特内里费,67
laliga2,西乙,laliga211,加的斯,67
laliga2,西乙,laliga212,阿尔瓦塞特,66
laliga2,西乙,laliga213,韦斯卡,66
laliga2,西乙,laliga214,马拉加,66
laliga2,西乙,laliga215,科尔多瓦,65
laliga2,西乙,laliga216,费罗尔竞技,65
laliga2,西乙,laliga217,埃尔登塞,65
laliga2,西乙,laliga218,拉科鲁尼亚,65
laliga2,西乙,laliga219,卡斯特利翁,64
laliga2,西乙,laliga220,米兰德斯,64
laliga2,西乙,laliga221,布尔戈斯,64
laliga2,西乙,laliga222,卡尔塔赫纳,64
seriea,意甲,seriea01,国际米兰,84
seriea,意甲,seriea02,尤文图斯,83
seriea,意甲,seriea03,AC米兰,82
seriea,意甲,seriea04,那不勒斯,81
seriea,意甲,seriea05,亚特兰大,80
seriea,意甲,seriea06,罗马,80
seriea,意甲,seriea07,拉齐奥,79
seriea,意甲,seriea08,佛罗伦萨,78
seriea,意甲,seriea09,博洛尼亚,77
seriea,意甲,seriea10,都灵,76
seriea,意甲,seriea11,乌迪内斯,75
seriea,意甲,seriea12,热那亚,74
seriea,意甲,seriea13,卡利亚里,73
seriea,意甲,seriea14,维罗纳,72
seriea,意甲,seriea15,帕尔马,72
seriea,意甲,seriea16,科莫,72
seriea,意甲,seriea17,蒙扎,72
seriea,意甲,seriea18,恩波利,71
seriea,意甲,seriea19,莱切,71
seriea,意甲,seriea20,威尼斯,70
serieb,意乙,serieb01,桑普多利亚,73
serieb,意乙,serieb02,萨索洛,72
serieb,意乙,serieb03,巴勒莫,71
serieb,意乙,serieb04,克雷莫纳,70
serieb,意乙,serieb05,比萨,69
serieb,意乙,serieb06,斯佩齐亚,69
serieb,意乙,serieb07,萨勒尼塔纳,69
serieb,意乙,serieb08,弗罗西诺内,68
serieb,意乙,serieb09,雷吉亚纳,67
serieb,意乙,serieb10,切塞纳,67
serieb,意乙,serieb11,巴里,67
serieb,意乙,serieb12,布雷西亚,66
serieb,意乙,serieb13,摩德纳,66
serieb,意乙,serieb14,南蒂罗尔,66
serieb,意乙,serieb15,曼托瓦,65
serieb,意乙,serieb16,卡坦扎罗,65
serieb,意乙,serieb17,科森扎,65
serieb,意乙,serieb18,奇塔代拉,64
serieb,意乙,serieb19,卡拉雷塞,64
serieb,意乙,serieb20,尤文斯塔比亚,63
bundesliga,德甲,bundesliga01,拜仁慕尼黑,86
bundesliga,德甲,bundesliga02,勒沃库森,84
bundesliga,德甲,bundesliga03,多特蒙德,82
bundesliga,德甲,bundesliga04,莱比锡红牛,81
bundesliga,德甲,bundesliga05,斯图加特,80
bundesliga,德甲,bundesliga06,法兰克福,79
bundesliga,德甲,bundesliga07,沃尔夫斯堡,76
bundesliga,德甲,bundesliga08,弗赖堡,76
bundesliga,德甲,bundesliga09,门兴格拉德巴赫,75
bundesliga,德甲,bundesliga10,美因茨,74
bundesliga,德甲,bundesliga11,霍芬海姆,74
bundesliga,德甲,bundesliga12,云达不莱梅,73
bundesliga,德甲,bundesliga13,奥格斯堡,72
bundesliga,德甲,bundesliga14,柏林联合,72
bundesliga,德甲,bundesliga15,波鸿,71
bundesliga,德甲,bundesliga16,圣保利,71
bundesliga,德甲,bundesliga17,海登海姆,71
bundesliga,德甲,bundesliga18,荷尔斯泰因基尔,70
bundes2,德乙,bundes201,汉堡,73
bundes2,德乙,bundes202,科隆,72
bundes2,德乙,bundes203,柏林赫塔,71
bundes2,德乙,bundes204,沙尔克04,71
bundes2,德乙,bundes205,杜塞尔多夫,70
bundes2,德乙,bundes206,汉诺威96,69
bundes2,德乙,bundes207,卡尔斯鲁厄,68
bundes2,德乙,bundes208,帕德博恩,67
bundes2,德乙,bundes209,纽伦堡,67
bundes2,德乙,bundes210,马格德堡,66
bundes2,德乙,bundes211,菲尔特,66
bundes2,德乙,bundes212,凯泽斯劳滕,66
bundes2,德乙,bundes213,达姆施塔特,66
bundes2,德乙,bundes214,布伦瑞克,65
bundes2,德乙,bundes215,乌尔姆,64
bundes2,德乙,bundes216,雷根斯堡,64
bundes2,德乙,bundes217,明斯特,63
bundes2,德乙,bundes218,埃森,63
ligue1,法甲,ligue101,巴黎圣日耳曼,86
ligue1,法甲,ligue102,摩纳哥,81
ligue1,法甲,ligue103,马赛,80
ligue1,法甲,ligue104,里尔,79
ligue1,法甲,ligue105,里昂,78
ligue1,法甲,ligue106,尼斯,78
ligue1,法甲,ligue107,朗斯,77
ligue1,法甲,ligue108,雷恩,76
ligue1,法甲,ligue109,斯特拉斯堡,74
ligue1,法甲,ligue110,图卢兹,73
ligue1,法甲,ligue111,兰斯,73
ligue1,法甲,ligue112,布雷斯特,73
ligue1,法甲,ligue113,南特,72
ligue1,法甲,ligue114,欧塞尔,71
ligue1,法甲,ligue115,勒阿弗尔,71
ligue1,法甲,ligue116,蒙彼利埃,71
ligue1,法甲,ligue117,昂热,70
ligue1,法甲,ligue118,圣埃蒂安,70
ligue2,法乙,ligue201,波尔多,72
ligue2,法乙,ligue202,梅斯,71
ligue2,法乙,ligue203,洛里昂,70
ligue2,法乙,ligue204,巴黎FC,70
ligue2,法乙,ligue205,甘冈,68
ligue2,法乙,ligue206,卡昂,67
ligue2,法乙,ligue207,拉瓦勒,66
ligue2,法乙,ligue208,格勒诺布尔,66
ligue2,法乙,ligue209,阿讷西,66
ligue2,法乙,ligue210,阿雅克肖,66
ligue2,法乙,ligue211,波城,65
ligue2,法乙,ligue212,罗德兹,65
ligue2,法乙,ligue213,克莱蒙,65
ligue2,法乙,ligue214,敦刻尔克,64
ligue2,法乙,ligue215,巴斯蒂亚,64
ligue2,法乙,ligue216,特鲁瓦,64
ligue2,法乙,ligue217,亚眠,64
ligue2,法乙,ligue218,圣旺红星,63
ligue2,法乙,ligue219,马蒂格,62
ligue2,法乙,ligue220,瓦朗谢讷,62
eredivisie,荷甲,eredivisie01,埃因霍温,80
eredivisie,荷甲,eredivisie02,费耶诺德,79
eredivisie,荷甲,eredivisie03,阿贾克斯,78
eredivisie,荷甲,eredivisie04,阿尔克马尔,75
eredivisie,荷甲,eredivisie05,特温特,73
eredivisie,荷甲,eredivisie06,乌得勒支,72
eredivisie,荷甲,eredivisie07,前进之鹰,70
eredivisie,荷甲,eredivisie08,奈梅亨,69
eredivisie,荷甲,eredivisie09,海伦芬,69
eredivisie,荷甲,eredivisie10,福图纳锡塔德,68
eredivisie,荷甲,eredivisie11,赫拉克勒斯,67
eredivisie,荷甲,eredivisie12,兹沃勒,67
eredivisie,荷甲,eredivisie13,鹿特丹斯巴达,66
eredivisie,荷甲,eredivisie14,格罗宁根,66
eredivisie,荷甲,eredivisie15,布雷达,65
eredivisie,荷甲,eredivisie16,阿尔梅勒城,65
eredivisie,荷甲,eredivisie17,威廉二世,65
eredivisie,荷甲,eredivisie18,瓦尔韦克,64
eerst,荷乙,eerst01,多德雷赫特,68
eerst,荷乙,eerst02,罗达JC,68
eerst,荷乙,eerst03,埃门,67
eerst,荷乙,eerst04,格拉夫夏普,67
eerst,荷乙,eerst05,维特斯,67
eerst,荷乙,eerst06,坎布尔,66
eerst,荷乙,eerst07,海牙,66
eerst,荷乙,eerst08,芬洛,66
eerst,荷乙,eerst09,福伦丹,66
eerst,荷乙,eerst10,SBV精英,66
eerst,荷乙,eerst11,登博斯,65
eerst,荷乙,eerst12,马斯特里赫特,64
eerst,荷乙,eerst13,特尔斯达,64
eerst,荷乙,eerst14,赫尔蒙德,64
eerst,荷乙,eerst15,埃因霍温FC,64
eerst,荷乙,eerst16,阿贾克斯青年队,62
eerst,荷乙,eerst17,阿尔克马尔青年队,62
eerst,荷乙,eerst18,埃因霍温青年队,62
eerst,荷乙,eerst19,乌得勒支青年队,62
eerst,荷乙,eerst20,特温特青年队,61
primeira,葡超,primeira01,波尔图,82
primeira,葡超,primeira02,本菲卡,81
primeira,葡超,primeira03,葡萄牙体育,81
primeira,葡超,primeira04,布拉加,77
primeira,葡超,primeira05,吉马良斯,74
primeira,葡超,primeira06,里奥阿维,71
primeira,葡超,primeira07,法马利康,71
primeira,葡超,primeira08,阿罗卡,70
primeira,葡超,primeira09,卡萨皮亚,70
primeira,葡超,primeira10,埃斯托里尔,70
primeira,葡超,primeira11,博阿维斯塔,69
primeira,葡超,primeira12,吉维森特,69
primeira,葡超,primeira13,圣克拉拉,68
primeira,葡超,primeira14,莫雷伦斯,68
primeira,葡超,primeira15,马德拉国民,67
primeira,葡超,primeira16,法伦斯,67
primeira,葡超,primeira17,阿维什人,66
primeira,葡超,primeira18,埃斯特雷拉,66
ligaporta,葡甲,ligaporta01,波尔图B,68
ligaporta,葡甲,ligaporta02,本菲卡B,68
ligaporta,葡甲,ligaporta03,里斯本竞技B,67
ligaporta,葡甲,ligaporta04,马里迪莫,67
ligaporta,葡甲,ligaporta05,通德拉,66
ligaporta,葡甲,ligaporta06,费雷拉,66
ligaporta,葡甲,ligaporta07,维泽拉,66
ligaporta,葡甲,ligaporta08,查韦斯,65
ligaporta,葡甲,ligaporta09,奥利维伦斯,65
ligaporta,葡甲,ligaporta10,莱里亚,64
ligaporta,葡甲,ligaporta11,佩纳菲耶尔,64
ligaporta,葡甲,ligaporta12,费尔盖拉斯,64
ligaporta,葡甲,ligaporta13,维塞乌,64
ligaporta,葡甲,ligaporta14,埃斯皮尼奥,63
ligaporta,葡甲,ligaporta15,阿尔韦卡,63
ligaporta,葡甲,ligaporta16,科维良,62
ligaporta,葡甲,ligaporta17,托伦斯,62
ligaporta,葡甲,ligaporta18,阿马多拉之星,62
